,sku,style,skushortname,size,bin,zone,inv_bucket,soh,available_qty,commited_qty,picked_qty,hold_qty,unit_wac,inv_cost,sku_barcode,location,brand_name,uom
1494,HUTCHINS-BROWN-11,HUTCHINS-BROWN-11,Hutchins-Brown-11,11/45,TC-R,SALZON2,good,160,160,0,0,0,25,4000,8907928282421,Warehouse,Thomas Crick,Pcs
1495,HUTCHINS-BROWN-12,HUTCHINS-BROWN-12,Hutchins-Brown-12,12/46,4.6,Saleable Zone,good,10,10,0,0,0,25,250,8907928282414,Warehouse,Thomas Crick,Pcs
1496,HUTCHINS-BROWN-12,HUTCHINS-BROWN-12,Hutchins-Brown-12,12/46,TC-R,SALZON2,good,60,60,0,0,0,25,1500,8907928282414,Warehouse,Thomas Crick,Pcs
1497,HUTCHINS-BROWN-7,HUTCHINS-BROWN-7,Hutchins-Brown-7,07/41,4.6,Saleable Zone,good,5,5,0,0,0,25,125,8907928282469,Warehouse,Thomas Crick,Pcs
1498,HUTCHINS-BROWN-7,HUTCHINS-BROWN-7,Hutchins-Brown-7,07/41,TC-R,SALZON2,good,60,60,0,0,0,25,1500,8907928282469,Warehouse,Thomas Crick,Pcs
1499,HUTCHINS-BROWN-8,HUTCHINS-BROWN-8,Hutchins-Brown-8,08/42,4.6,Saleable Zone,good,3,3,0,0,0,25,75,8907928282452,Warehouse,Thomas Crick,Pcs
1500,HUTCHINS-BROWN-8,HUTCHINS-BROWN-8,Hutchins-Brown-8,08/42,TC-R,SALZON2,good,130,130,0,0,0,25,3250,8907928282452,Warehouse,Thomas Crick,Pcs
1501,HUTCHINS-BROWN-9,HUTCHINS-BROWN-9,Hutchins-Brown-9,09/43,4.6,Saleable Zone,good,10,10,0,0,0,25,250,8907928282445,Warehouse,Thomas Crick,Pcs
1502,HUTCHINS-BROWN-9,HUTCHINS-BROWN-9,Hutchins-Brown-9,09/43,TC-R,SALZON2,good,220,220,0,0,0,25,5500,8907928282445,Warehouse,Thomas Crick,Pcs
1503,HUTTON-BLACK-10,HUTTON-BLACK-10,HUTTON-BLACK-10,10/44,TC-R,SALZON2,good,452,452,0,0,0,9.6,4339.2,8904309501041,Warehouse,Red Tape,Pcs
1504,HUTTON-BLACK-11,HUTTON-BLACK-11,HUTTON-BLACK-11,11/45,10.6,Saleable Zone,good,6,6,0,0,0,9.6,57.6,8904309501058,Warehouse,Red Tape,Pcs
1505,HUTTON-BLACK-11,HUTTON-BLACK-11,HUTTON-BLACK-11,11/45,TC-R,SALZON2,good,226,226,0,0,0,9.6,2169.6,8904309501058,Warehouse,Red Tape,Pcs
1506,HUTTON-BLACK-12,HUTTON-BLACK-12,HUTTON-BLACK-12,12/46,10.6,Saleable Zone,good,5,5,0,0,0,9.6,48,8904309501065,Warehouse,Red Tape,Pcs
1507,HUTTON-BLACK-12,HUTTON-BLACK-12,HUTTON-BLACK-12,12/46,TC-R,SALZON2,good,92,92,0,0,0,9.6,883.2,8904309501065,Warehouse,Red Tape,Pcs
1508,HUTTON-BLACK-7,HUTTON-BLACK-7,HUTTON-BLACK-7,07/41,TC-R,SALZON2,good,320,320,0,0,0,9.6,3072,8904309501010,Warehouse,Red Tape,Pcs
1509,HUTTON-BLACK-8,HUTTON-BLACK-8,HUTTON-BLACK-8,08/42,10.6,Saleable Zone,good,3,3,0,0,0,9.6,28.8,8904309501027,Warehouse,Red Tape,Pcs
1510,HUTTON-BLACK-8,HUTTON-BLACK-8,HUTTON-BLACK-8,08/42,TC-R,SALZON2,good,560,560,0,0,0,9.6,5376,8904309501027,Warehouse,Red Tape,Pcs
1511,HUTTON-BLACK-9,HUTTON-BLACK-9,HUTTON-BLACK-9,09/43,10.6,Saleable Zone,good,15,15,0,0,0,9.6,144,8904309501034,Warehouse,Red Tape,Pcs
1512,HUTTON-BLACK-9,HUTTON-BLACK-9,HUTTON-BLACK-9,09/43,TC-R,SALZON2,good,840,840,0,0,0,9.6,8064,8904309501034,Warehouse,Red Tape,Pcs
1513,HUTTON-BROWN-10,HUTTON-BROWN-10,HUTTON-BROWN-10,10/44,11.3,Saleable Zone,good,3,3,0,0,0,9.6,28.8,8904309501119,Warehouse,Red Tape,Pcs
1514,HUTTON-BROWN-10,HUTTON-BROWN-10,HUTTON-BROWN-10,10/44,TC-R,SALZON2,good,406,406,0,0,0,9.6,3897.6,8904309501119,Warehouse,Red Tape,Pcs
1515,HUTTON-BROWN-11,HUTTON-BROWN-11,HUTTON-BROWN-11,11/45,11.3,Saleable Zone,good,2,2,0,0,0,9.6,19.2,8904309501126,Warehouse,Red Tape,Pcs
1516,HUTTON-BROWN-11,HUTTON-BROWN-11,HUTTON-BROWN-11,11/45,TC-R,SALZON2,good,203,203,0,0,0,9.6,1948.8,8904309501126,Warehouse,Red Tape,Pcs
1517,HUTTON-BROWN-12,HUTTON-BROWN-12,HUTTON-BROWN-12,12/46,11.3,Saleable Zone,good,3,3,0,0,0,9.6,28.8,8904309501133,Warehouse,Red Tape,Pcs
1518,HUTTON-BROWN-12,HUTTON-BROWN-12,HUTTON-BROWN-12,12/46,TC-R,SALZON2,good,111,111,0,0,0,9.6,1065.6,8904309501133,Warehouse,Red Tape,Pcs
1519,HUTTON-BROWN-7,HUTTON-BROWN-7,HUTTON-BROWN-7,07/41,11.3,Saleable Zone,good,13,13,0,0,0,9.6,124.8,8904309501089,Warehouse,Red Tape,Pcs
1520,HUTTON-BROWN-7,HUTTON-BROWN-7,HUTTON-BROWN-7,07/41,TC-R,SALZON2,good,203,203,0,0,0,9.6,1948.8,8904309501089,Warehouse,Red Tape,Pcs
1521,HUTTON-BROWN-8,HUTTON-BROWN-8,HUTTON-BROWN-8,08/42,11.3,Saleable Zone,good,14,14,0,0,0,9.6,134.4,8904309501096,Warehouse,Red Tape,Pcs
1522,HUTTON-BROWN-8,HUTTON-BROWN-8,HUTTON-BROWN-8,08/42,TC-R,SALZON2,good,406,406,0,0,0,9.6,3897.6,8904309501096,Warehouse,Red Tape,Pcs
1523,HUTTON-BROWN-9,HUTTON-BROWN-9,HUTTON-BROWN-9,09/43,11.3,Saleable Zone,good,24,24,0,0,0,9.6,230.4,8904309501102,Warehouse,Red Tape,Pcs
1524,HUTTON-BROWN-9,HUTTON-BROWN-9,HUTTON-BROWN-9,09/43,TC-R,SALZON2,good,609,609,0,0,0,9.6,5846.4,8904309501102,Warehouse,Red Tape,Pcs
1525,HUXLEY-WOOD-10,HUXLEY-WOOD-10,Huxley-Wood-10,10/44,TC-R,SALZON2,good,240,240,0,0,0,9.6,2304,8903144292336,Warehouse,Red Tape,Pcs
1526,HUXLEY-WOOD-11,HUXLEY-WOOD-11,Huxley-Wood-11,11/45,TC-R,SALZON2,good,90,90,0,0,0,9.6,864,8903144292343,Warehouse,Red Tape,Pcs
1527,HUXLEY-WOOD-12,HUXLEY-WOOD-12,Huxley-Wood-12,12/46,12.1,Saleable Zone,good,6,6,0,0,0,9.6,57.6,8903144292350,Warehouse,Red Tape,Pcs
